white 255 255 255 0
black 0 0 0 0
gray 128 128 128 0
red 255 0 0 0
green 0 255 0 0
blue 0 0 255 0
orange 255 122 66 0
pink 255 96 208 0
purple 160 32 255
yellow 255 224 32 0
brown 160 128 96 0
